Species,N_1_start,N_1_end,M_1_start,M_1_end,T_1_start,T_1_end,B_start,B_end,T_2_start,T_2_end,M_2_start,M_2_end,N_2_start,N_2_end
Hairy Woodpecker,1/1/16,4/7/16,NA,NA,NA,NA,4/8/16,8/14/16,NA,NA,NA,NA,8/15/16,12/31/16
Red-cockaded Woodpecker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Flicker,1/1/16,3/31/16,4/1/16,4/30/16,5/1/16,5/7/16,5/8/16,8/23/16,8/24/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Pileated Woodpecker,1/1/16,4/23/16,NA,NA,NA,NA,4/24/16,8/14/16,NA,NA,NA,NA,8/15/16,12/31/16
American Kestrel,1/1/16,3/7/16,3/8/16,4/7/16,4/8/16,5/7/16,5/8/16,7/31/16,8/1/16,8/23/16,8/24/16,11/14/16,11/15/16,12/31/16
Peregrine Falcon,1/1/16,3/14/16,NA,NA,3/15/16,5/7/16,5/8/16,7/14/16,7/15/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
Monk Parakeet,1/1/16,4/14/16,NA,NA,NA,NA,4/15/16,8/31/16,NA,NA,NA,NA,9/1/16,12/31/16
Olive-sided Flycatcher,1/1/16,4/14/16,4/15/16,5/23/16,5/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
Yellow-bellied Flycatcher,1/1/16,4/14/16,4/15/16,5/23/16,5/24/16,6/14/16,6/15/16,8/14/16,8/15/16,9/7/16,9/8/16,10/31/16,11/1/16,12/31/16
Eastern Wood-Pewee,1/1/16,3/31/16,4/1/16,5/23/16,5/24/16,5/31/16,6/1/16,8/14/16,8/15/16,9/23/16,9/24/16,10/31/16,11/1/16,12/31/16
Acadian Flycatcher,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/14/16,8/15/16,8/23/16,8/24/16,10/31/16,11/1/16,12/31/16
Alder Flycatcher,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,5/31/16,6/1/16,8/14/16,8/15/16,8/23/16,8/24/16,10/31/16,11/1/16,12/31/16
Willow Flycatcher,1/1/16,4/30/16,5/1/16,6/7/16,6/8/16,6/14/16,6/15/16,7/31/16,8/1/16,8/31/16,9/1/16,9/30/16,10/1/16,12/31/16
Least Flycatcher,1/1/16,4/14/16,4/15/16,5/14/16,5/15/16,6/14/16,6/15/16,7/31/16,8/1/16,8/31/16,9/1/16,9/30/16,10/1/16,12/31/16
Eastern Phoebe,1/1/16,2/14/16,2/15/16,3/31/16,4/1/16,4/23/16,4/24/16,8/23/16,8/24/16,9/7/16,9/8/16,11/7/16,11/8/16,12/31/16
Great-crested Flycatcher,1/1/16,4/7/16,4/8/16,5/14/16,5/15/16,5/31/16,6/1/16,7/31/16,8/1/16,8/14/16,8/15/16,9/30/16,10/1/16,12/31/16
Eastern Kingbird,1/1/16,3/14/16,3/15/16,5/14/16,5/15/16,5/23/16,5/24/16,7/23/16,7/24/16,8/23/16,8/24/16,10/23/16,10/24/16,12/31/16
Loggerhead Shrike,1/1/16,1/23/16,2/1/16,4/14/16,4/15/16,4/23/16,4/24/16,7/31/16,8/1/16,8/31/16,9/1/16,11/14/16,11/15/16,12/31/16
White-eyed Vireo,1/1/16,2/29/16,3/1/16,4/14/16,4/15/16,5/23/16,5/24/16,8/14/16,8/15/16,8/31/16,9/1/16,10/23/16,10/24/16,12/31/16
Yellow-throated Vireo,1/1/16,4/14/16,4/15/16,4/30/16,5/1/16,5/31/16,6/1/16,8/14/16,8/15/16,9/30/16,10/1/16,10/23/16,10/24/16,12/31/16
Blue-headed Vireo,1/1/16,2/29/16,3/1/16,5/7/16,5/8/16,5/23/16,5/24/16,8/14/16,8/15/16,8/31/16,9/1/16,10/23/16,10/24/16,12/31/16
Warbling Vireo,1/1/16,3/7/16,3/8/16,5/14/16,5/15/16,5/31/16,6/1/16,8/7/16,8/8/16,8/23/16,8/24/16,9/30/16,10/1/16,12/31/16
Red-eyed Vireo,1/1/16,4/7/16,4/8/16,5/14/16,5/15/16,6/7/16,6/8/16,7/31/16,8/1/16,9/7/16,9/8/16,10/23/16,10/24/16,12/31/16
Blue Jay,1/1/16,4/14/16,NA,NA,4/15/16,5/23/16,5/24/16,8/14/16,8/15/16,9/7/16,9/8/16,10/23/16,10/24/16,12/31/16
American Crow,1/1/16,2/14/16,2/15/16,3/14/16,3/15/16,4/30/16,5/1/16,9/7/16,9/8/16,9/14/16,9/15/16,11/30/16,12/1/16,12/31/16
Fish Crow,1/1/16,2/14/16,2/15/16,4/14/16,4/15/16,4/30/16,5/1/16,8/14/16,8/15/16,9/30/16,10/1/16,12/14/16,12/15/16,12/31/16
Common Raven,1/1/16,2/23/16,NA,NA,NA,NA,2/24/16,7/31/16,NA,NA,NA,NA,8/1/16,12/31/16
Horned Lark,1/1/16,2/14/16,2/15/16,3/14/16,3/15/16,4/14/16,4/15/16,9/7/16,9/8/16,9/14/16,9/15/16,11/14/16,11/15/16,12/31/16
